class, NOCom, NCLOC, DCP,,x,,,y,,,x*y,,z,,,x*z,,,,,,,m_nocom,m_ncloc,m_dcp,,,,,rank_nocom,rank_ncloc,rank_dcp,,d_nocom_ncloc^2,d_nocom_dcp^2
./src/main/java/org/jfree/chart/title/Title.java,9,180,54.55,,2.257911392,5.098163856,,34.96044304,1222.232577,,78.93758262,,-8.92136076,79.59067781,,-20.14364209,,,,,,,,,,,78.93758262,-20.14364209,,139,157,385,,324,60516
./src/main/java/org/jfree/chart/urls/CategoryURLGenerator.java,4,6,91.78,,-2.742088608,7.519049932,,-139.039557,19331.9984,,381.2587852,,28.30863924,801.3790556,,-77.62479717,,,,,,,,,,,381.2587852,-77.62479716,,380,531,17,,22801,131769
./src/main/java/org/jfree/chart/urls/CustomCategoryURLGenerator.java,5,88,50.84,,-1.742088608,3.034872717,,-57.03955696,3253.511058,,99.36796237,,-12.63136076,159.5512746,,22.00494968,,,,,,,,,,,99.36796237,22.00494968,,311,278,446,,1089,18225
./src/main/java/org/jfree/chart/urls/CustomPieURLGenerator.java,8,95,53.43,,1.257911392,1.582341071,,-50.03955696,2503.957261,,-62.94532877,,-10.04136076,100.8289259,,-12.63114209,,,,,,,,,,,-62.94532877,-12.63114209,,165,269,405,,10816,57600
./src/main/java/org/jfree/chart/urls/CustomXYURLGenerator.java,4,89,53.89,,-2.742088608,7.519049932,,-56.03955696,3140.431945,,153.6654307,,-9.58136076,91.80247401,,26.27294019,,,,,,,,,,,153.6654307,26.27294018,,380,275,397,,11025,289
./src/main/java/org/jfree/chart/urls/PieURLGenerator.java,5,5,92.19,,-1.742088608,3.034872717,,-140.039557,19611.07751,,243.9613168,,28.71863924,824.7602398,,-50.03041426,,,,,,,,,,,243.9613168,-50.03041425,,311,574,8,,69169,91809
./src/main/java/org/jfree/chart/urls/StandardCategoryURLGenerator.java,6,86,51.96,,-0.742088608,0.550695502,,-59.03955696,3485.669286,,43.81258262,,-11.51136076,132.5114265,,8.542449683,,,,,,,,,,,43.81258262,8.542449678,,259,280,429,,441,28900
./src/main/java/org/jfree/chart/urls/StandardPieURLGenerator.java,6,70,53.64,,-0.742088608,0.550695502,,-75.03955696,5630.935109,,55.68600034,,-9.83136076,96.65565439,,7.295740821,,,,,,,,,,,55.68600034,7.295740817,,259,318,403,,3481,20736
./src/main/java/org/jfree/chart/urls/StandardXYURLGenerator.java,8,58,58.57,,1.257911392,1.582341071,,-87.03955696,7575.884476,,-109.4880503,,-4.90136076,24.0233373,,-6.165477536,,,,,,,,,,,-109.4880503,-6.165477538,,165,350,332,,34225,27889
./src/main/java/org/jfree/chart/urls/StandardXYZURLGenerator.java,2,9,85,,-4.742088608,22.48740436,,-136.039557,18506.76106,,645.1116333,,21.52863924,463.4823075,,-102.0907149,,,,,,,,,,,645.1116333,-102.0907149,,539,507,147,,1024,153664
